  1.538461538462E+00  1.252752531817E-16  0.000000000000E+00  1.252752531817E-16 -1.252752531817E-16
  1.536053901798E+00  8.439936519047E-04 -1.115867503772E-01  8.439936519047E-04 -8.439936519047E-04
  1.528854178663E+00  3.383706444859E-03 -1.776801224188E+00  3.383706444859E-03 -3.383706444859E-03
  1.516931706328E+00  7.642391865948E-03 -8.923023180489E+00  7.642391865948E-03 -7.642391865948E-03
  1.500401304717E+00  1.365899373172E-02 -2.788519180899E+01  1.365899373172E-02 -1.365899373172E-02
  1.479422170636E+00  2.148840909666E-02 -6.709870385050E+01  2.148840909666E-02 -2.148840909666E-02
  1.454196344613E+00  3.120181541278E-02 -1.366869907165E+02  3.120181541278E-02 -3.120181541278E-02
  1.424966765143E+00  4.288701445073E-02 -2.479604737350E+02  4.288701445073E-02 -4.288701445073E-02
  1.392014929055E+00  5.664872190499E-02 -4.128472310795E+02  5.664872190499E-02 -5.664872190499E-02
  1.355658180543E+00  7.260869941500E-02 -6.432785525736E+02  7.260869941500E-02 -7.260869941500E-02
  1.316246654971E+00  9.090558185372E-02 -9.505544980578E+02  9.090558185372E-02 -9.090558185372E-02
  1.274159906875E+00  1.116941934795E-01 -1.344715534846E+03  1.116941934795E-01 -1.116941934795E-01
  1.229803254644E+00  1.351440677487E-01 -1.833946271256E+03  1.351440677487E-01 -1.351440677487E-01
  1.183603877089E+00  1.614367830119E-01 -2.424036226823E+03  1.614367830119E-01 -1.614367830119E-01
  1.136006699470E+00  1.907615966227E-01 -3.117920525489E+03  1.907615966227E-01 -1.907615966227E-01
  1.087470108626E+00  2.233087026629E-01 -3.915320443358E+03  2.233087026629E-01 -2.233087026629E-01
  1.038461538462E+00  2.592592592593E-01 -4.812500000000E+03  2.592592592593E-01 -2.592592592593E-01
  9.894529682968E-01  2.987711480904E-01 -5.802150394702E+03  2.987711480904E-01 -2.987711480904E-01
  9.409163774535E-01  3.419592797050E-01 -6.873409224300E+03  3.419592797050E-01 -3.419592797050E-01
  8.933191998343E-01  3.888692152238E-01 -8.012016263971E+03  3.888692152238E-01 -3.888692152238E-01
  8.471198222790E-01  4.394430567057E-01 -9.200602344284E+03  4.394430567057E-01 -4.394430567057E-01
  8.027631700485E-01  4.934771425492E-01 -1.041910271875E+04  4.934771425492E-01 -4.934771425492E-01
  7.606764219517E-01  5.505723042575E-01 -1.164528148369E+04  5.505723042575E-01 -5.505723042575E-01
  7.212648963797E-01  6.100795468207E-01 -1.285534927272E+04  6.100795468207E-01 -6.100795468207E-01
  6.849081478683E-01  6.710471663805E-01 -1.402465276892E+04  6.710471663805E-01 -6.710471663805E-01
  6.519563117802E-01  7.321793801024E-01 -1.512841170097E+04  7.321793801024E-01 -7.321793801024E-01
  6.227267323103E-01  7.918207890541E-01 -1.614247702754E+04  7.918207890541E-01 -7.918207890541E-01
  5.975009062874E-01  8.479838345025E-01 -1.704408304256E+04  8.479838345025E-01 -8.479838345025E-01
  5.765217722059E-01  8.984353955333E-01 -1.781256619265E+04  8.984353955333E-01 -8.984353955333E-01
  5.599913705954E-01  9.408511980599E-01 -1.843002448603E+04  9.408511980599E-01 -9.408511980599E-01
  5.480688982599E-01  9.730315776303E-01 -1.888189344899E+04  9.730315776303E-01 -9.730315776303E-01
  5.408691751254E-01  9.931516592619E-01 -1.915741757519E+04  9.931516592619E-01 -9.931516592619E-01
  5.384615384615E-01  1.000000000000E+00 -1.925000000000E+04  1.000000000000E+00 -1.000000000000E+00
